core,l1i_size,l1d_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,sys_clock,latency,area,power
5.0,3.0,6.0,7.0,4.0,4.0,4.0,3.2,0.0,0.0,0.0
7.0,3.0,9.0,6.0,4.0,4.0,1.0,3.4,0.0,0.0,0.0
9.0,5.0,3.0,11.0,1.0,1.0,1.0,3.7,0.000371,110.61,15.557
1.0,8.0,5.0,12.0,1.0,2.0,4.0,3.5,0.000171,41.608,4.072
8.0,7.0,5.0,16.0,2.0,4.0,3.0,2.0,0.000305,598.85,41.352
14.0,10.0,3.0,8.0,3.0,1.0,3.0,3.6,0.000515,283.55,32.397
14.0,10.0,5.0,10.0,3.0,4.0,4.0,3.8,0.000515,314.24,34.242
2.0,9.0,5.0,12.0,4.0,2.0,3.0,3.7,0.000129,81.218,6.605
12.0,3.0,9.0,16.0,1.0,2.0,4.0,3.1,0.00045,1358.9,74.017
16.0,2.0,9.0,6.0,3.0,4.0,2.0,2.5,0.0,0.0,0.0
8.0,2.0,5.0,14.0,2.0,4.0,3.0,3.8,0.0,0.0,0.0
12.0,9.0,6.0,16.0,1.0,4.0,2.0,3.6,0.00045,662.16,51.089
7.0,8.0,2.0,13.0,3.0,2.0,4.0,3.5,0.0,0.0,0.0
12.0,8.0,7.0,6.0,3.0,4.0,1.0,2.7,0.00045,223.9,24.428
6.0,10.0,4.0,7.0,3.0,1.0,1.0,2.2,0.000226,124.75,14.086
1.0,9.0,2.0,10.0,2.0,3.0,1.0,3.9,0.000171,26.083,2.705
6.0,7.0,6.0,7.0,2.0,2.0,3.0,3.6,0.000226,72.592,10.476
6.0,6.0,6.0,13.0,3.0,4.0,4.0,2.3,0.000226,166.2,15.51
1.0,6.0,8.0,11.0,4.0,2.0,3.0,2.3,0.000169,33.462,3.114
9.0,10.0,5.0,15.0,4.0,1.0,2.0,2.0,0.000333,452.43,35.317
13.0,4.0,2.0,8.0,4.0,4.0,2.0,3.6,0.0,0.0,0.0
15.0,5.0,10.0,16.0,1.0,4.0,3.0,3.3,0.000586,829.37,62.316
2.0,6.0,4.0,9.0,1.0,3.0,1.0,2.2,0.000129,29.655,3.919
10.0,6.0,4.0,12.0,3.0,2.0,1.0,3.7,0.000382,162.59,18.896
2.0,5.0,9.0,8.0,1.0,4.0,2.0,3.1,0.000129,41.43,4.739
4.0,5.0,8.0,15.0,2.0,4.0,1.0,3.2,0.00019,301.96,20.665
10.0,10.0,9.0,6.0,3.0,4.0,3.0,2.0,0.000383,242.59,27.166
6.0,5.0,7.0,15.0,2.0,3.0,4.0,2.6,0.000226,625.71,41.28
9.0,3.0,8.0,14.0,3.0,4.0,2.0,2.2,0.0,0.0,0.0
2.0,3.0,4.0,8.0,2.0,2.0,3.0,3.0,0.000129,25.903,3.569
9.0,7.0,7.0,11.0,1.0,3.0,2.0,3.9,0.000332,136.78,17.204
16.0,4.0,10.0,7.0,3.0,1.0,4.0,2.2,0.0,0.0,0.0
13.0,4.0,4.0,11.0,1.0,4.0,1.0,3.8,0.000468,205.96,23.69
8.0,3.0,6.0,11.0,3.0,1.0,4.0,2.8,0.000305,117.8,14.88
4.0,2.0,6.0,6.0,1.0,1.0,4.0,2.3,0.0,0.0,0.0
2.0,5.0,5.0,15.0,4.0,2.0,1.0,3.4,0.000129,267.37,16.45
6.0,5.0,4.0,7.0,4.0,4.0,3.0,3.7,0.000226,121.11,11.517
9.0,9.0,7.0,7.0,2.0,3.0,1.0,2.0,0.000333,139.89,18.589
1.0,6.0,7.0,13.0,4.0,3.0,4.0,2.2,0.000169,79.964,6.438
3.0,7.0,9.0,7.0,3.0,2.0,4.0,3.1,0.0,0.0,0.0
9.0,4.0,10.0,9.0,3.0,2.0,2.0,3.1,0.000332,168.04,20.522
3.0,6.0,3.0,13.0,1.0,3.0,2.0,3.2,0.000149,108.5,8.943
10.0,2.0,7.0,8.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0
4.0,10.0,3.0,9.0,2.0,1.0,2.0,3.2,0.00019,79.69,9.447
3.0,6.0,10.0,7.0,1.0,1.0,1.0,2.9,0.000149,60.794,7.02
12.0,9.0,9.0,8.0,1.0,3.0,1.0,3.6,0.00045,222.2,27.606
6.0,4.0,4.0,8.0,3.0,3.0,1.0,3.6,0.000226,88.852,10.598
10.0,4.0,5.0,8.0,1.0,3.0,2.0,2.5,0.00038,127.23,17.218
10.0,8.0,10.0,8.0,1.0,2.0,3.0,2.2,0.000381,209.52,24.317
15.0,8.0,10.0,10.0,4.0,4.0,1.0,3.2,0.000586,400.32,39.44
11.0,4.0,6.0,13.0,1.0,4.0,1.0,2.1,0.000413,228.36,23.345
12.0,4.0,4.0,8.0,3.0,3.0,4.0,3.8,0.00045,177.54,21.192
13.0,4.0,3.0,9.0,4.0,1.0,2.0,3.6,0.0,0.0,0.0
11.0,10.0,9.0,16.0,2.0,2.0,3.0,3.5,0.000413,723.3,54.968
16.0,5.0,8.0,11.0,3.0,2.0,1.0,2.2,0.000592,238.77,30.282
12.0,4.0,10.0,9.0,3.0,3.0,3.0,3.7,0.00045,242.8,27.901
12.0,4.0,9.0,15.0,1.0,1.0,4.0,2.5,0.00045,717.02,53.848
5.0,6.0,8.0,9.0,1.0,4.0,4.0,3.1,0.000195,91.535,10.42
13.0,10.0,4.0,14.0,1.0,1.0,3.0,2.3,0.000468,373.11,36.817
9.0,3.0,4.0,15.0,1.0,4.0,2.0,3.2,0.0,0.0,0.0
14.0,8.0,4.0,11.0,4.0,2.0,4.0,2.6,0.000515,246.01,27.713
4.0,8.0,10.0,12.0,1.0,3.0,3.0,2.7,0.00019,130.69,12.216
13.0,10.0,2.0,9.0,4.0,1.0,1.0,3.9,0.0,0.0,0.0
8.0,6.0,5.0,8.0,3.0,2.0,2.0,2.8,0.000305,106.9,13.962
10.0,6.0,9.0,8.0,3.0,4.0,4.0,2.3,0.000399,202.98,21.866
7.0,8.0,5.0,10.0,1.0,1.0,1.0,3.8,0.000269,94.73,12.923
1.0,10.0,6.0,16.0,2.0,1.0,3.0,3.8,0.000171,492.5,28.88
10.0,8.0,10.0,16.0,3.0,3.0,1.0,2.3,0.000379,651.7,50.709
15.0,9.0,7.0,10.0,4.0,3.0,4.0,2.3,0.000586,311.9,33.28
13.0,8.0,5.0,14.0,1.0,3.0,2.0,3.4,0.000468,305.61,30.737
14.0,6.0,4.0,13.0,2.0,3.0,1.0,3.2,0.000515,241.63,27.347
14.0,8.0,7.0,15.0,1.0,4.0,2.0,2.9,0.000515,474.03,41.022
1.0,8.0,4.0,16.0,4.0,3.0,2.0,2.2,0.000169,472.49,28.604
1.0,7.0,6.0,12.0,3.0,2.0,4.0,2.8,0.000169,43.067,4.12
16.0,4.0,9.0,14.0,1.0,3.0,1.0,3.8,0.000608,382.8,39.066
14.0,3.0,7.0,7.0,4.0,1.0,2.0,3.6,0.000515,224.76,25.374
6.0,3.0,8.0,16.0,3.0,3.0,2.0,3.6,0.000226,545.05,37.886
7.0,5.0,7.0,10.0,1.0,1.0,3.0,3.4,0.000269,86.707,12.423
2.0,4.0,6.0,16.0,3.0,3.0,2.0,3.2,0.000217,483.47,29.983
13.0,4.0,9.0,10.0,3.0,2.0,3.0,3.9,0.000468,204.94,25.982
8.0,2.0,8.0,11.0,4.0,2.0,3.0,2.6,0.000305,149.59,16.103
3.0,4.0,9.0,15.0,2.0,3.0,4.0,3.6,0.000149,597.22,36.504
6.0,4.0,4.0,13.0,3.0,3.0,4.0,2.7,0.000226,147.56,14.815
4.0,5.0,6.0,7.0,1.0,2.0,4.0,3.0,0.0,0.0,0.0
16.0,3.0,4.0,6.0,1.0,1.0,2.0,2.1,0.000592,168.34,26.165
16.0,10.0,9.0,11.0,3.0,1.0,2.0,2.3,0.000592,381.95,42.564
8.0,8.0,5.0,13.0,4.0,4.0,2.0,2.7,0.000305,239.34,20.108
8.0,6.0,9.0,14.0,4.0,2.0,4.0,2.8,0.000305,279.37,24.568
11.0,9.0,3.0,9.0,1.0,1.0,1.0,2.0,0.000413,156.34,21.879
16.0,7.0,8.0,15.0,3.0,2.0,4.0,2.5,0.000592,776.5,60.432
5.0,2.0,2.0,12.0,2.0,1.0,4.0,2.8,0.000195,82.195,10.342
5.0,3.0,9.0,16.0,3.0,1.0,1.0,3.7,0.000195,518.19,36.043
2.0,10.0,4.0,6.0,3.0,1.0,4.0,2.2,0.0,0.0,0.0
7.0,2.0,9.0,16.0,2.0,3.0,2.0,3.4,0.0,0.0,0.0
13.0,7.0,6.0,10.0,2.0,2.0,1.0,3.8,0.000468,161.04,22.829
6.0,7.0,8.0,15.0,1.0,3.0,4.0,3.7,0.000226,632.83,41.694
7.0,10.0,8.0,16.0,1.0,3.0,1.0,2.8,0.000269,574.72,42.87
6.0,3.0,4.0,6.0,2.0,4.0,1.0,2.1,0.0,0.0,0.0
3.0,10.0,9.0,14.0,3.0,1.0,3.0,2.1,0.000149,203.34,15.343
5.0,10.0,2.0,13.0,2.0,4.0,4.0,2.0,0.000195,160.12,16.313
9.0,3.0,6.0,11.0,1.0,3.0,1.0,3.2,0.000332,125.89,16.279
2.0,6.0,7.0,8.0,3.0,4.0,1.0,2.9,0.000129,38.672,4.37
4.0,8.0,5.0,14.0,2.0,3.0,3.0,3.6,0.00019,189.2,14.728
13.0,9.0,3.0,8.0,4.0,1.0,3.0,2.5,0.0,0.0,0.0
7.0,7.0,8.0,14.0,3.0,1.0,4.0,3.1,0.000269,234.53,21.113
5.0,3.0,2.0,10.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0
12.0,6.0,7.0,14.0,1.0,1.0,2.0,3.0,0.00045,266.64,27.651
11.0,7.0,3.0,13.0,3.0,4.0,4.0,3.1,0.000413,248.79,24.739
13.0,3.0,2.0,8.0,1.0,4.0,3.0,2.7,0.0,0.0,0.0
11.0,7.0,7.0,12.0,3.0,4.0,3.0,3.7,0.000413,239.5,23.561
6.0,2.0,4.0,10.0,2.0,2.0,1.0,2.5,0.000226,75.851,10.493
14.0,2.0,3.0,14.0,3.0,1.0,2.0,2.8,0.000515,298.08,30.385
3.0,10.0,3.0,7.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0
12.0,9.0,6.0,9.0,2.0,4.0,2.0,3.3,0.00045,214.94,25.214
15.0,7.0,10.0,9.0,4.0,1.0,3.0,3.3,0.000586,321.18,36.064
7.0,2.0,10.0,12.0,4.0,1.0,4.0,3.9,0.000269,172.14,18.32
14.0,2.0,7.0,13.0,1.0,2.0,3.0,2.0,0.000515,214.7,27.438
4.0,6.0,10.0,11.0,3.0,4.0,4.0,3.9,0.00019,107.47,11.066
10.0,9.0,6.0,8.0,4.0,2.0,2.0,2.8,0.00038,199.86,21.499
1.0,8.0,2.0,11.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0
3.0,3.0,2.0,12.0,3.0,4.0,3.0,3.1,0.0,0.0,0.0
16.0,7.0,8.0,13.0,1.0,4.0,3.0,2.4,0.000592,328.99,35.18
14.0,4.0,2.0,8.0,3.0,3.0,2.0,3.8,0.0,0.0,0.0
10.0,8.0,6.0,14.0,3.0,4.0,3.0,3.3,0.00038,316.4,27.156
11.0,9.0,5.0,13.0,4.0,4.0,1.0,2.2,0.000413,307.74,27.741
5.0,5.0,4.0,9.0,1.0,1.0,3.0,2.4,0.000195,59.0,8.587
16.0,3.0,8.0,16.0,2.0,1.0,1.0,3.3,0.000608,633.63,54.296
2.0,10.0,5.0,14.0,4.0,3.0,1.0,2.3,0.000129,171.73,12.198
14.0,3.0,6.0,16.0,3.0,2.0,4.0,2.1,0.000515,1366.2,74.713
7.0,3.0,8.0,7.0,4.0,3.0,4.0,3.2,0.0,0.0,0.0
4.0,9.0,3.0,8.0,4.0,2.0,2.0,3.6,0.0,0.0,0.0
9.0,8.0,10.0,10.0,4.0,2.0,3.0,3.5,0.000371,204.59,22.692
4.0,2.0,7.0,10.0,1.0,4.0,3.0,2.3,0.0,0.0,0.0
8.0,10.0,6.0,10.0,2.0,4.0,2.0,2.4,0.000305,170.6,19.6
9.0,5.0,8.0,14.0,1.0,2.0,4.0,2.8,0.000333,244.49,24.024
9.0,9.0,6.0,10.0,4.0,2.0,4.0,3.1,0.000332,188.6,19.986
16.0,5.0,7.0,8.0,2.0,4.0,2.0,2.1,0.000592,256.05,29.845
11.0,10.0,4.0,16.0,2.0,3.0,4.0,3.5,0.000413,1378.6,75.274
11.0,3.0,4.0,8.0,3.0,2.0,1.0,3.7,0.000413,141.44,18.567
2.0,4.0,3.0,9.0,2.0,3.0,4.0,3.0,0.000129,32.885,4.075
1.0,2.0,6.0,15.0,2.0,1.0,2.0,2.8,0.000169,252.7,15.226
11.0,6.0,10.0,12.0,1.0,1.0,3.0,3.1,0.000413,255.73,27.321
5.0,3.0,6.0,8.0,1.0,3.0,1.0,2.2,0.000195,64.063,8.894
4.0,6.0,7.0,9.0,3.0,1.0,3.0,2.0,0.000146,59.498,7.547
3.0,4.0,8.0,11.0,2.0,1.0,3.0,2.8,0.000149,52.336,6.286
1.0,10.0,7.0,7.0,3.0,2.0,3.0,3.2,0.000171,24.401,2.801
3.0,10.0,9.0,15.0,4.0,4.0,3.0,2.7,0.000149,335.27,22.08
10.0,10.0,4.0,6.0,1.0,2.0,2.0,2.6,0.000381,185.88,22.789
14.0,6.0,10.0,6.0,3.0,3.0,3.0,3.5,0.000515,281.01,32.648
5.0,8.0,3.0,11.0,1.0,3.0,1.0,3.9,0.000195,83.151,10.063
10.0,9.0,4.0,8.0,1.0,2.0,2.0,3.5,0.000382,147.75,19.849
11.0,7.0,6.0,8.0,2.0,4.0,4.0,3.2,0.000413,180.3,20.816
4.0,4.0,6.0,10.0,1.0,1.0,2.0,3.2,0.00019,54.223,7.194
4.0,9.0,2.0,12.0,4.0,3.0,3.0,3.3,0.0,0.0,0.0
13.0,9.0,2.0,7.0,4.0,1.0,1.0,2.1,0.0,0.0,0.0
4.0,4.0,10.0,14.0,3.0,3.0,3.0,3.5,0.00019,213.54,16.648
8.0,5.0,3.0,14.0,3.0,2.0,1.0,2.1,0.000305,225.14,20.648
11.0,8.0,7.0,10.0,1.0,4.0,4.0,3.2,0.000413,194.81,22.474
12.0,6.0,7.0,13.0,2.0,2.0,1.0,3.0,0.00045,203.2,24.041
4.0,10.0,4.0,14.0,4.0,3.0,1.0,3.8,0.00019,214.28,16.667
1.0,9.0,5.0,12.0,2.0,4.0,2.0,2.3,0.000169,53.334,4.528
8.0,7.0,7.0,16.0,2.0,4.0,4.0,3.1,0.000305,1316.7,65.694
16.0,5.0,8.0,13.0,4.0,1.0,4.0,2.8,0.000592,327.26,34.508
5.0,4.0,2.0,12.0,4.0,1.0,1.0,2.2,0.0,0.0,0.0
6.0,9.0,8.0,16.0,3.0,2.0,2.0,3.6,0.000226,560.19,39.188
4.0,6.0,2.0,13.0,4.0,2.0,4.0,2.0,0.0,0.0,0.0
8.0,8.0,4.0,16.0,2.0,3.0,2.0,2.2,0.000305,562.86,40.948
6.0,4.0,8.0,15.0,1.0,2.0,4.0,2.7,0.000226,620.06,41.529
2.0,10.0,5.0,14.0,1.0,2.0,4.0,3.4,0.000129,171.81,12.704
4.0,2.0,8.0,7.0,1.0,4.0,1.0,3.6,0.0,0.0,0.0
8.0,2.0,2.0,10.0,4.0,3.0,4.0,2.5,0.0,0.0,0.0
5.0,10.0,7.0,14.0,4.0,4.0,2.0,3.2,0.000195,255.7,19.944
13.0,5.0,9.0,10.0,3.0,2.0,3.0,3.8,0.000468,205.73,26.099
9.0,4.0,3.0,11.0,3.0,2.0,3.0,2.8,0.000333,126.25,16.058
9.0,7.0,8.0,10.0,4.0,1.0,2.0,2.4,0.000333,165.2,18.267
9.0,5.0,5.0,7.0,2.0,4.0,2.0,3.8,0.000371,140.32,16.145
5.0,10.0,9.0,12.0,2.0,1.0,1.0,2.4,0.000195,148.26,15.072
2.0,2.0,8.0,12.0,4.0,2.0,2.0,3.7,0.000129,69.29,5.741
3.0,5.0,8.0,8.0,3.0,2.0,4.0,3.1,0.000149,48.182,5.947
6.0,5.0,6.0,8.0,3.0,4.0,3.0,2.2,0.000226,107.8,11.49
10.0,5.0,9.0,6.0,3.0,1.0,3.0,3.4,0.00038,152.67,19.794
9.0,2.0,2.0,11.0,2.0,2.0,1.0,2.3,0.000333,112.46,15.614
14.0,5.0,5.0,14.0,4.0,1.0,2.0,3.2,0.000515,348.43,31.799
5.0,6.0,2.0,7.0,2.0,4.0,4.0,3.7,0.0,0.0,0.0
8.0,6.0,2.0,16.0,2.0,2.0,4.0,2.8,0.000305,1274.9,63.887
14.0,8.0,6.0,13.0,1.0,2.0,2.0,3.7,0.000515,240.19,28.692
1.0,9.0,2.0,13.0,2.0,4.0,3.0,2.7,0.000169,75.575,6.183
4.0,3.0,2.0,12.0,4.0,2.0,2.0,3.9,0.0,0.0,0.0
