core,l1i_size,l1d_size,l2_size,l1d_assoc,l1i_assoc,l2_assoc,sys_clock,latency,area,power
6.0,3.0,7.0,6.0,3.0,3.0,2.0,3.3,0.000226,88.842,10.888
1.0,4.0,3.0,13.0,1.0,4.0,4.0,2.0,0.000169,76.58,6.542
14.0,10.0,8.0,9.0,3.0,4.0,4.0,2.4,0.000515,326.22,36.003
10.0,8.0,5.0,12.0,2.0,4.0,3.0,2.8,0.00038,204.44,21.454
15.0,7.0,5.0,13.0,4.0,4.0,4.0,2.6,0.000586,368.59,33.623
7.0,9.0,5.0,10.0,1.0,1.0,1.0,3.1,0.000269,108.83,14.267
1.0,5.0,10.0,6.0,4.0,1.0,4.0,2.5,0.0,0.0,0.0
12.0,10.0,3.0,16.0,1.0,4.0,3.0,3.2,0.00045,706.81,54.364
12.0,6.0,3.0,7.0,4.0,4.0,4.0,3.5,0.0,0.0,0.0
11.0,9.0,10.0,12.0,4.0,2.0,3.0,3.7,0.000413,310.27,31.496
15.0,8.0,5.0,15.0,4.0,4.0,1.0,2.0,0.000586,550.74,43.646
7.0,8.0,3.0,14.0,2.0,3.0,3.0,3.1,0.000269,229.29,19.978
6.0,9.0,7.0,12.0,4.0,3.0,3.0,3.8,0.000226,162.22,15.135
6.0,10.0,3.0,8.0,2.0,2.0,4.0,2.8,0.000226,117.5,14.001
9.0,3.0,8.0,14.0,2.0,2.0,4.0,2.3,0.000333,243.28,23.985
16.0,5.0,6.0,7.0,1.0,4.0,1.0,2.8,0.000608,247.2,28.901
9.0,6.0,5.0,15.0,1.0,4.0,4.0,2.5,0.000333,684.36,46.693
3.0,10.0,5.0,6.0,2.0,4.0,1.0,3.3,0.000149,61.295,7.343
13.0,5.0,10.0,9.0,1.0,3.0,3.0,3.8,0.000468,280.0,30.433
1.0,5.0,4.0,7.0,1.0,4.0,4.0,2.4,0.0,0.0,0.0
16.0,10.0,3.0,6.0,3.0,3.0,3.0,3.0,0.000608,303.03,36.786
10.0,3.0,3.0,11.0,4.0,1.0,4.0,3.8,0.0,0.0,0.0
3.0,8.0,5.0,6.0,3.0,4.0,2.0,3.6,0.000149,56.552,6.187
7.0,4.0,4.0,16.0,1.0,4.0,1.0,3.3,0.000269,545.78,38.452
16.0,4.0,9.0,7.0,1.0,1.0,1.0,2.8,0.000592,228.94,31.333
6.0,10.0,3.0,6.0,4.0,2.0,2.0,2.5,0.0,0.0,0.0
14.0,8.0,6.0,16.0,3.0,3.0,4.0,3.8,0.000515,1405.5,76.996
6.0,7.0,7.0,10.0,1.0,1.0,1.0,2.1,0.000226,81.317,11.2
11.0,10.0,7.0,10.0,3.0,1.0,4.0,2.1,0.000413,242.0,27.186
9.0,8.0,2.0,12.0,1.0,3.0,2.0,3.8,0.000371,155.72,18.107
